id,title,url,isPaid,price,numSubscribers,numReviews,numPublishedLectures,instructionalLevel,contentInfo,publishedTime,,,Is Paid,Total,Column1
775252,LOGO DESIGN IN POWERPOINT,https://www.udemy.com/logo-design-in-powerpoint-create-logos/,TRUE,95,1046,12,28,Beginner Level,1 hour,2016-04-15T18:02:17Z,,,,,
850426,Photoshop CC MasterClass,https://www.udemy.com/photoshop-cc-masterclass/,TRUE,95,505,88,78,All Levels,11.5 hours,2016-05-17T20:06:37Z,,,,,
530426,Become A Logo Designer ,https://www.udemy.com/become-a-logo-designer/,TRUE,95,827,50,39,All Levels,2.5 hours,2015-07-14T16:07:03Z,,,,,
627782,Learn Illustrator By Recreating Top 3 Logos - Beginner Guide,https://www.udemy.com/learn-illustrator/,FALSE,Free,8786,245,11,Beginner Level,1 hour,2015-10-04T19:36:34Z,,,,,
1211198,Illustrative Surface Patterns Design : From Life To Products,https://www.udemy.com/illustrative-surface-patterns-design-from-life-moments-to-products/,TRUE,40,253,1,14,All Levels,1 hour,2017-05-23T22:39:46Z,,,,,
294294,Effective iOS & Android App Icon Design,https://www.udemy.com/effective-ios-android-app-icon-design/,TRUE,20,1933,25,13,Beginner Level,1 hour,2014-09-09T14:36:37Z,,,,,
692920,Creating an animated greeting card via Google Slides,https://www.udemy.com/creating-an-animated-greeting-card-via-google-slides/,TRUE,20,1504,10,9,Beginner Level,1.5 hours,2016-01-05T20:31:49Z,,,,,
349144,Photoshop: Learn Digital Painting Basics in Photoshop,https://www.udemy.com/photoshop-painting-tutorial/,TRUE,20,1332,31,24,Beginner Level,2 hours,2014-12-06T05:51:03Z,,,,,
711688,Learning Photoshop CC 2014 in Egyptian Arabic ,https://www.udemy.com/photoshop-egyptian-arabic/,TRUE,70,1150,68,25,All Levels,3.5 hours,2016-01-10T16:24:47Z,,,,,
625920,Make tech circles in Photoshop in 30 minutes!,https://www.udemy.com/learn-to-make-fancy-tech-circles-in-photoshop-in-30-minutes/,TRUE,50,1056,15,8,All Levels,34 mins,2015-10-09T23:10:51Z,,,,,
286508,Graphic design - The Quick Guide,https://www.udemy.com/graphic-design-the-quick-guide/,TRUE,30,1350,29,11,Beginner Level,38 mins,2014-08-29T08:03:27Z,,,,,
768940,Learn Corel x7 Like a Pro,https://www.udemy.com/learn-corel-x7/,TRUE,20,1586,8,5,Intermediate Level,31 mins,2016-03-04T19:00:46Z,,,,,
640428,Make tech circles in Adobe Illustrator in 30 minutes,https://www.udemy.com/make-tech-circles-in-adobe-illustrator-in-30-minutes/,TRUE,200,821,15,5,All Levels,32 mins,2015-10-14T21:42:40Z,,,,,
1168910,Easy Illustration and 2D Animation,https://www.udemy.com/easy-illustration-and-2d-animation/,TRUE,65,56,16,7,All Levels,34 mins,2017-04-18T16:12:42Z,,,,,
640426,Make Tech circles in Adobe Photoshop and Illustrator,https://www.udemy.com/make-tech-circles-in-adobe-photoshop-and-illustrator/,TRUE,200,1150,10,13,All Levels,1 hour,2015-10-14T22:05:30Z,,,,,
300466,Turn Your Photos Into Professional And Modern Artworks,https://www.udemy.com/turn-your-photos-into-professional-and-modern-artworks/,TRUE,20,1557,11,12,All Levels,1.5 hours,2014-09-16T13:09:16Z,,,,,
682060,Calligraphy for Beginners: Creating Strong Lines,https://www.udemy.com/calligraphy-for-beginners-creating-strong-lines/,TRUE,40,246,30,12,Beginner Level,41 mins,2016-03-03T20:58:21Z,,,,,
809216,Canva: Design Album Cover Artwork in Minutes - No More Fees!,https://www.udemy.com/canva-make-album-covers-for-free/,FALSE,Free,3103,42,11,Beginner Level,40 mins,2016-04-07T23:57:25Z,,,,,
532140,Getting Started With Photoshop CC,https://www.udemy.com/getting-started-with-photoshop-cc2/,TRUE,75,1090,14,45,Beginner Level,4.5 hours,2015-06-19T22:25:42Z,,,,,
546832,Learn Adobe Photoshop in 1 Hour,https://www.udemy.com/learn-adobe-photoshop-in-1-hour/,TRUE,50,1235,15,10,All Levels,1 hour,2015-07-07T23:16:37Z,,,,,
1260674,Learn Comic Book Color Flatting! (Coloring Assistant role),https://www.udemy.com/flatting/,FALSE,Free,946,3,6,Beginner Level,40 mins,2017-06-20T17:57:00Z,,,,,
